Date,AAPL_EMA,SBUX_EMA,MSFT_EMA,CSCO_EMA,QCOM_EMA,Facebook_EMA,AMZN_EMA,TSLA_EMA,AMD_EMA,ZNGA_EMA
2012-05-01,21.56,29.27,31.55,20.0,65.27,,198.6,6.7,7.69,10.37
2012-05-02,21.5,29.24,31.57,19.98,65.17,,201.61,6.71,7.68,10.24
2012-05-03,21.43,29.15,31.59,19.96,65.02,,204.26,6.69,7.65,10.09
2012-05-04,21.31,29.02,31.53,19.88,64.72,,206.14,6.66,7.61,9.92
2012-05-07,21.22,28.9,31.45,19.8,64.45,,207.95,6.64,7.57,9.77
2012-05-08,21.13,28.73,31.36,19.7,64.28,,209.47,6.58,7.52,9.59
2012-05-09,21.05,28.57,31.3,19.61,64.06,,210.76,6.53,7.46,9.44
2012-05-10,20.99,28.46,31.25,19.34,63.91,,212.28,6.54,7.4,9.29
2012-05-11,20.92,28.37,31.24,19.07,63.71,,213.75,6.53,7.34,9.12
2012-05-14,20.83,28.22,31.19,18.84,63.5,,214.62,6.48,7.28,9.01
2012-05-15,20.73,28.07,31.1,18.62,63.3,,215.55,6.42,7.22,8.97
2012-05-16,20.61,27.92,30.99,18.44,62.9,,216.36,6.36,7.14,8.9
2012-05-17,20.45,27.72,30.87,18.26,62.35,,216.55,6.3,7.04,8.84
2012-05-18,20.31,27.53,30.72,18.09,61.74,,216.29,6.22,6.94,8.68
2012-05-21,20.28,27.47,30.63,17.95,61.31,,216.46,6.18,6.88,8.53
2012-05-22,20.24,27.4,30.55,17.83,60.99,,216.35,6.18,6.81,8.37
2012-05-23,20.25,27.42,30.41,17.72,60.72,,216.44,6.18,6.74,8.25
2012-05-24,20.24,27.42,30.28,17.59,60.38,,216.33,6.17,6.67,8.11
2012-05-25,20.22,27.41,30.16,17.47,60.09,,216.0,6.15,6.63,7.97
2012-05-29,20.24,27.45,30.1,17.39,59.93,,215.88,6.17,6.61,7.79
2012-05-30,20.28,27.44,30.03,17.29,59.69,,215.25,6.16,6.57,7.61
2012-05-31,20.31,27.44,29.95,17.2,59.46,,215.03,6.14,6.52,7.48
2012-06-01,20.28,27.31,29.81,17.08,59.05,,214.38,6.09,6.44,7.34
2012-06-04,20.27,27.28,29.69,16.99,58.75,,214.4,6.04,6.36,7.18
2012-06-05,20.25,27.18,29.58,16.91,58.6,,214.29,6.0,6.31,7.04
2012-06-06,20.27,27.14,29.56,16.89,58.58,,214.61,5.99,6.28,6.96
2012-06-07,20.28,27.1,29.53,16.86,58.52,,215.01,5.97,6.23,6.87
2012-06-08,20.32,27.07,29.54,16.85,58.54,,215.34,5.97,6.2,6.79
2012-06-11,20.33,27.01,29.48,16.81,58.47,,215.45,5.96,6.15,6.67
2012-06-12,20.35,26.96,29.46,16.81,58.56,,215.54,5.96,6.13,6.51
2012-06-13,20.36,26.83,29.43,16.8,58.6,,215.46,5.96,6.09,6.37
2012-06-14,20.36,26.77,29.42,16.81,58.43,,215.36,5.95,6.06,6.24
2012-06-15,20.37,26.72,29.48,16.84,58.25,,215.64,5.95,6.04,6.18
2012-06-18,20.42,26.76,29.51,16.87,58.11,29.57,216.31,5.99,6.03,6.14
2012-06-19,20.47,26.84,29.62,16.9,58.01,29.79,217.05,6.03,6.01,6.12
2012-06-20,20.51,26.93,29.74,16.96,57.91,29.96,217.62,6.1,6.01,6.1
2012-06-21,20.52,26.94,29.78,16.96,57.65,30.14,217.9,6.13,5.98,6.06
2012-06-22,20.55,26.98,29.87,16.98,57.46,30.42,218.31,6.19,5.96,6.05
2012-06-25,20.53,26.95,29.87,16.98,57.09,30.58,218.48,6.23,5.91,6.05
2012-06-26,20.52,26.95,29.88,16.96,56.79,30.82,219.16,6.24,5.87,6.02
2012-06-27,20.52,26.9,29.91,16.94,56.61,30.95,219.78,6.25,5.83,5.98
2012-06-28,20.5,26.82,29.91,16.9,56.39,30.99,219.93,6.25,5.79,5.92
2012-06-29,20.53,26.8,29.97,16.93,56.32,31.0,220.73,6.25,5.78,5.87
2012-07-02,20.59,26.76,30.03,16.94,56.26,30.98,221.55,6.23,5.78,5.84
2012-07-03,20.67,26.68,30.1,16.96,56.26,31.0,222.31,6.22,5.8,5.8
2012-07-05,20.78,26.63,30.16,16.96,56.26,31.04,222.76,6.22,5.81,5.77
2012-07-06,20.86,26.57,30.16,16.94,56.17,31.11,222.98,6.22,5.8,5.73
2012-07-09,20.96,26.53,30.14,16.91,56.09,31.21,223.18,6.23,5.78,5.68
2012-07-10,21.03,26.5,30.1,16.86,56.0,31.23,222.83,6.23,5.7,5.62
2012-07-11,21.08,26.46,30.02,16.81,55.84,31.21,222.41,6.24,5.62,5.56
2012-07-12,21.11,26.45,29.89,16.73,55.64,31.17,221.74,6.27,5.55,5.51
2012-07-13,21.16,26.48,29.84,16.69,55.58,31.13,221.42,6.33,5.49,5.45
2012-07-16,21.21,26.48,29.8,16.64,55.46,30.86,220.9,6.41,5.43,5.39
2012-07-17,21.25,26.52,29.79,16.6,55.36,30.6,220.52,6.43,5.38,5.31
2012-07-18,21.29,26.53,29.85,16.61,55.43,30.46,220.23,6.43,5.33,5.24
2012-07-19,21.35,26.58,29.93,16.62,55.72,30.32,220.8,6.43,5.29,5.17
2012-07-20,21.37,26.52,29.95,16.6,55.91,30.17,221.51,6.42,5.19,5.13
2012-07-23,21.39,26.4,29.89,16.55,56.04,30.03,221.94,6.39,5.09,5.13
2012-07-24,21.4,26.29,29.82,16.41,56.11,29.88,222.04,6.35,4.99,5.11
2012-07-25,21.32,26.19,29.73,16.32,56.22,29.83,221.56,6.3,4.9,5.11
2012-07-26,21.24,26.19,29.68,16.23,56.41,29.55,221.41,6.24,4.82,4.93
2012-07-27,21.21,25.96,29.69,16.18,56.69,28.99,222.93,6.21,4.75,4.75
2012-07-30,21.21,25.72,29.69,16.15,56.92,28.43,224.18,6.14,4.69,4.58
2012-07-31,21.27,25.43,29.67,16.13,57.18,27.79,225.05,6.08,4.63,4.42
2012-08-01,21.31,25.09,29.65,16.12,57.4,27.13,225.72,6.0,4.57,4.27
2012-08-02,21.35,24.76,29.61,16.08,57.54,26.45,226.2,5.93,4.51,4.12
2012-08-03,21.41,24.49,29.62,16.11,57.8,25.94,227.04,5.88,4.47,3.99
2012-08-06,21.49,24.23,29.65,16.17,58.02,25.56,227.7,5.86,4.43,3.89
2012-08-07,21.56,24.08,29.71,16.26,58.34,25.1,228.54,5.88,4.39,3.81
2012-08-08,21.62,23.94,29.77,16.35,58.64,24.68,229.1,5.87,4.39,3.73
2012-08-09,21.67,23.81,29.84,16.48,58.96,24.33,229.57,5.87,4.39,3.66
2012-08-10,21.72,23.71,29.9,16.58,59.25,24.09,229.87,5.88,4.39,3.59
2012-08-13,21.79,23.65,29.95,16.65,59.52,23.85,230.11,5.91,4.38,3.53
2012-08-14,21.86,23.61,29.97,16.7,59.79,23.52,230.4,5.91,4.36,3.48
2012-08-15,21.92,23.65,29.99,16.76,60.05,23.3,231.07,5.91,4.34,3.44
2012-08-16,22.0,23.7,30.07,16.98,60.29,22.97,232.07,5.92,4.32,3.4
2012-08-17,22.11,23.74,30.15,17.18,60.58,22.6,232.94,5.93,4.3,3.36
2012-08-20,22.27,23.77,30.21,17.35,60.79,22.35,233.65,5.93,4.28,3.32
2012-08-21,22.38,23.8,30.27,17.52,60.91,22.05,234.2,5.92,4.26,3.29
2012-08-22,22.52,23.82,30.3,17.68,61.03,21.8,235.05,5.93,4.24,3.29
2012-08-23,22.63,23.83,30.3,17.82,61.13,21.58,235.64,5.95,4.21,3.29
2012-08-24,22.73,23.88,30.32,17.95,61.25,21.37,236.6,5.95,4.18,3.29
2012-08-27,22.86,23.95,30.36,18.08,61.36,21.16,237.3,5.92,4.15,3.27
2012-08-28,22.98,24.02,30.39,18.19,61.42,20.99,238.14,5.9,4.12,3.25
2012-08-29,23.08,24.07,30.41,18.29,61.49,20.81,239.0,5.88,4.09,3.22
2012-08-30,23.14,24.14,30.4,18.35,61.46,20.65,239.69,5.86,4.05,3.19
2012-08-31,23.2,24.2,30.44,18.42,61.46,20.4,240.51,5.85,4.02,3.15
2012-09-04,23.29,24.25,30.43,18.47,61.4,20.15,241.21,5.83,3.98,3.12
2012-09-05,23.35,24.31,30.43,18.51,61.33,20.0,241.69,5.81,3.94,3.1
2012-09-06,23.43,24.42,30.52,18.63,61.45,19.9,242.61,5.8,3.91,3.08
2012-09-07,23.51,24.53,30.56,18.72,61.5,19.81,244.18,5.81,3.87,3.06
2012-09-10,23.53,24.61,30.58,18.76,61.48,19.71,245.41,5.78,3.83,3.04
2012-09-11,23.54,24.68,30.6,18.79,61.51,19.68,246.39,5.76,3.82,3.02
2012-09-12,23.58,24.77,30.62,18.82,61.6,19.8,247.27,5.75,3.83,3.02
2012-09-13,23.66,24.87,30.65,18.87,61.81,19.89,248.51,5.76,3.84,3.01
2012-09-14,23.76,24.9,30.7,18.93,62.1,20.09,249.73,5.79,3.85,3.03
2012-09-17,23.88,24.89,30.75,18.95,62.36,20.23,250.52,5.86,3.87,3.03
2012-09-18,23.99,24.86,30.79,18.96,62.62,20.39,251.3,5.9,3.85,3.03
2012-09-19,24.09,24.88,30.81,18.98,62.85,20.67,252.29,5.93,3.83,3.05
2012-09-20,24.17,24.95,30.87,18.99,62.99,20.85,253.1,5.95,3.81,3.06
2012-09-21,24.25,25.01,30.9,18.98,63.11,21.04,253.52,5.96,3.79,3.08
2012-09-24,24.29,25.06,30.89,18.96,63.16,21.02,253.64,5.98,3.76,3.07
2012-09-25,24.27,25.08,30.84,18.93,63.12,20.95,253.53,5.94,3.71,3.05
2012-09-26,24.22,25.08,30.78,18.9,63.04,20.92,253.16,5.9,3.67,3.03
2012-09-27,24.23,25.12,30.72,18.89,63.08,20.86,253.49,5.88,3.65,3.01
2012-09-28,24.19,25.14,30.63,18.91,63.02,20.94,253.57,5.88,3.62,2.99
2012-10-01,24.13,25.13,30.52,18.92,62.91,21.04,253.42,5.88,3.59,2.97
2012-10-02,24.08,25.08,30.44,18.92,62.8,21.16,253.15,5.89,3.56,2.95
2012-10-03,24.07,25.05,30.38,18.92,62.73,21.22,253.41,5.89,3.52,2.94
2012-10-04,24.05,25.0,30.35,18.92,62.72,21.29,254.08,5.89,3.49,2.93
2012-10-05,23.98,24.94,30.3,18.91,62.71,21.25,254.5,5.88,3.46,2.89
2012-10-08,23.87,24.89,30.25,18.91,62.59,21.17,254.93,5.88,3.43,2.85
2012-10-09,23.76,24.77,30.16,18.9,62.38,21.08,254.55,5.86,3.41,2.81
2012-10-10,23.68,24.65,30.05,18.84,62.13,20.94,253.64,5.84,3.39,2.77
2012-10-11,23.56,24.55,29.95,18.78,61.85,20.83,252.74,5.82,3.37,2.74
2012-10-12,23.46,24.46,29.88,18.74,61.57,20.71,251.75,5.79,3.31,2.71
2012-10-15,23.38,24.4,29.84,18.72,61.35,20.6,251.03,5.76,3.26,2.68
2012-10-16,23.36,24.41,29.81,18.73,61.26,20.49,250.35,5.75,3.2,2.66
2012-10-17,23.33,24.39,29.79,18.73,61.23,20.43,250.08,5.75,3.16,2.65
2012-10-18,23.26,24.32,29.76,18.72,61.11,20.29,249.58,5.74,3.11,2.64
2012-10-19,23.12,24.18,29.65,18.66,60.89,20.17,248.67,5.72,3.02,2.62
2012-10-22,23.07,24.03,29.49,18.62,60.68,20.09,247.25,5.71,2.93,2.59
2012-10-23,22.96,23.88,29.35,18.56,60.45,20.03,246.02,5.71,2.85,2.55
2012-10-24,22.87,23.76,29.21,18.45,60.18,20.33,244.35,5.69,2.78,2.51
2012-10-25,22.77,23.7,29.08,18.33,59.92,20.54,242.31,5.67,2.72,2.5
2012-10-26,22.66,23.63,29.0,18.23,59.84,20.67,241.92,5.65,2.66,2.48
2012-10-31,22.53,23.57,28.96,18.13,59.72,20.71,241.06,5.65,2.6,2.46
2012-11-01,22.41,23.55,29.01,18.07,59.72,20.76,240.21,5.67,2.56,2.44
2012-11-02,22.24,23.73,29.06,18.0,59.68,20.8,239.47,5.68,2.52,2.43
2012-11-05,22.11,23.9,29.11,17.94,59.75,20.84,238.98,5.74,2.48,2.41
2012-11-06,21.99,24.09,29.18,17.9,59.81,20.87,238.84,5.79,2.44,2.39
2012-11-07,21.79,24.26,29.17,17.83,59.65,20.83,238.19,5.84,2.4,2.37
2012-11-08,21.54,24.37,29.14,17.73,59.75,20.75,237.16,5.88,2.36,2.35
2012-11-09,21.35,24.48,29.11,17.64,59.93,20.6,236.13,5.9,2.33,2.33
2012-11-12,21.16,24.56,29.03,17.57,60.09,20.55,235.21,5.93,2.3,2.31
2012-11-13,20.99,24.62,28.85,17.5,60.28,20.48,234.39,5.97,2.28,2.29
2012-11-14,20.82,24.6,28.66,17.52,60.42,20.66,233.3,6.0,2.25,2.28
2012-11-15,20.62,24.56,28.47,17.56,60.5,20.8,232.09,6.02,2.21,2.28
2012-11-16,20.45,24.54,28.28,17.6,60.64,21.06,231.44,6.05,2.18,2.27
2012-11-19,20.43,24.57,28.13,17.67,60.78,21.24,231.28,6.1,2.16,2.26
2012-11-20,20.39,24.61,27.99,17.73,60.91,21.42,231.52,6.15,2.13,2.26
2012-11-21,20.36,24.67,27.89,17.8,61.03,21.7,232.14,6.18,2.11,2.27
2012-11-23,20.36,24.76,27.87,17.9,61.23,21.92,232.88,6.2,2.09,2.27
2012-11-26,20.43,24.83,27.82,18.01,61.35,22.3,233.9,6.22,2.07,2.28
2012-11-27,20.47,24.86,27.75,18.1,61.44,22.67,234.8,6.24,2.05,2.29
2012-11-28,20.5,24.94,27.71,18.17,61.56,23.02,235.97,6.28,2.04,2.31
2012-11-29,20.55,25.03,27.64,18.25,61.73,23.43,237.43,6.32,2.04,2.34
2012-11-30,20.58,25.12,27.54,18.31,61.91,23.87,238.82,6.36,2.06,2.35
2012-12-03,20.61,25.19,27.43,18.38,62.05,24.17,239.92,6.41,2.09,2.34
2012-12-04,20.61,25.23,27.33,18.46,62.18,24.48,241.12,6.45,2.11,2.33
2012-12-05,20.48,25.25,27.27,18.53,62.32,24.79,242.34,6.48,2.13,2.33
2012-12-06,20.39,25.4,27.22,18.62,62.5,25.0,243.39,6.51,2.15,2.34
2012-12-07,20.26,25.54,27.15,18.69,62.63,25.24,244.33,6.54,2.17,2.36
2012-12-10,20.13,25.63,27.13,18.79,62.75,25.49,244.66,6.58,2.18,2.37
2012-12-11,20.05,25.72,27.15,18.88,62.9,25.73,245.23,6.63,2.19,2.38
2012-12-12,19.97,25.82,27.16,18.96,62.96,25.91,245.85,6.67,2.21,2.4
2012-12-13,19.87,25.89,27.16,19.03,62.94,26.13,246.36,6.67,2.23,2.42
2012-12-14,19.71,25.97,27.13,19.11,62.64,26.19,246.63,6.68,2.25,2.43
2012-12-17,19.6,26.1,27.13,19.21,62.58,26.24,247.32,6.7,2.27,2.43
2012-12-18,19.55,26.2,27.17,19.32,62.65,26.38,248.57,6.72,2.29,2.43
2012-12-19,19.48,26.29,27.18,19.41,62.64,26.48,249.47,6.74,2.31,2.43
2012-12-20,19.4,26.37,27.23,19.49,62.66,26.56,250.62,6.75,2.32,2.43
2012-12-21,19.32,26.41,27.25,19.53,62.56,26.53,251.22,6.75,2.35,2.42
2012-12-24,19.25,26.45,27.23,19.56,62.5,26.57,251.92,6.76,2.36,2.41
2012-12-26,19.16,26.46,27.19,19.59,62.41,26.56,251.61,6.76,2.37,2.41
2012-12-27,19.09,26.48,27.17,19.6,62.32,26.51,251.3,6.76,2.37,2.41
2012-12-28,19.01,26.46,27.11,19.59,62.16,26.45,250.72,6.75,2.36,2.4
2012-12-31,19.01,26.49,27.07,19.6,62.13,26.47,250.73,6.75,2.36,2.4
2013-01-02,19.07,26.59,27.12,19.67,62.38,26.62,251.36,6.78,2.38,2.4
2013-01-03,19.1,26.69,27.13,19.74,62.58,26.73,252.04,6.8,2.39,2.4
2013-01-04,19.07,26.8,27.09,19.81,62.67,26.92,252.72,6.81,2.41,2.42
2013-01-07,19.04,26.9,27.05,19.86,62.8,27.16,254.22,6.82,2.43,2.44
2013-01-08,19.01,26.99,27.0,19.9,62.91,27.34,255.38,6.81,2.45,2.45
2013-01-09,18.96,27.02,26.97,19.94,63.1,27.65,256.42,6.8,2.47,2.45
2013-01-10,18.93,27.04,26.92,19.99,63.26,28.0,257.27,6.79,2.48,2.45
2013-01-11,18.9,27.08,26.91,20.04,63.42,28.35,258.29,6.77,2.5,2.46
2013-01-14,18.81,27.1,26.91,20.13,63.5,28.6,259.67,6.76,2.51,2.48
2013-01-15,18.67,27.11,26.94,20.21,63.59,28.74,260.83,6.76,2.53,2.49
2013-01-16,18.61,27.12,26.95,20.29,63.7,28.85,261.6,6.77,2.55,2.5
2013-01-17,18.55,27.13,26.98,20.35,63.84,28.97,262.45,6.78,2.57,2.5
2013-01-18,18.48,27.16,27.01,20.41,63.92,29.04,263.37,6.79,2.56,2.5
2013-01-22,18.44,27.19,27.02,20.45,63.99,29.2,264.02,6.81,2.55,2.49
2013-01-23,18.43,27.19,27.08,20.47,64.08,29.35,264.41,6.85,2.57,2.49
